id,tags,quote,author
265330,"['education', 'value']","If you want to know the value of a year, ask the student who was in the final year of his university education, when the lecturers went on strike and the school ended up closing for a year.",Sunday Adelaja
272652,"['glory-of-god', 'optimism', 'regeneration', 'sovereignty-of-god']",e must remember that all stations are as much about life as they are obviously about death. All is redeemed. All is grist for transformation and glory,"Megan McKenna, The New Stations of the Cross: The Way of the Cross According to Scripture"
118124,"['good-music', 'ildan-wise-sayings', 'music', 'silent', 'street', 'street-quotations', 'street-quotes']", silent street always welcome a good music,Mehmet Murat ildan
155482,"['dark-days', 'inner-strength', 'mental-illness', 'strength']","My dark days made me strong. Or maybe I already was strong, and they made me prove it.","Emery Lord, When We Collided"
65061,"['books', 'love', 'the-well-of-ascension']",his is not an easy time in which to live. That does not mean that it has to be a difficult time to love..,Brandon Sanderson
446636,"['Employees', 'Responsibility']","Corporate social responsibility is measured in terms of businesses improving conditions for their employees, shareholders, communities, and environment. But moral responsibility goes further, reflecting the need for corporations to address fundamental ethical issues such as inclusion, dignity, and equality.",Klaus Schwab
425867,"['Age', 'Happy', 'People']", started in the restaurant business at the age of 19 as a waitress. I loved the atmosphere and the camaraderie of the restaurant business. I loved not having to go to an office. I loved making people happy,Anne Burrell
43081,"['celebration', 'christian', 'enjoy', 'gratitude', 'inspiration', 'life-lessons']",hatever God gives you enjoy,Lailah Gifty Akita
447237,"['Alone', 'Book', 'World']","That can be the most painstaking aspect of being a teen, figuring out what the world really looks like. If you find someone in a book, you know you're not alone and that's what's so comforting about books.",Laurie Halse Anderson
347984,"['dork', 'drinking', 'drugs', 'self-deprecation']","Goodness, I was already a dork most of the times. I didn't need to be a drunk or high dork.","Jennifer L. Armentrout, The Problem with Forever"
79860,"['debasish-mridha', 'debasish-mridha-m-d', 'dreams', 'dreams-become-our-home', 'effect-of-our-dreams', 'inspirational', 'philosophy', 'quotes']",ur dreams become our home where we dwell,Debasish Mridha
